Word,Reading,Sequence,Index,Glosses,GlossLanguages,GlossGenders,GlossTypes,PartOfSpeech,CrossRef,Antonymns,Field,Dialect,IsUsuallyKana,Sources,SourceLanguages,SourceTypes,SourceWaseigo,Info,Info2
ひとり言,ひとりごと,1455670,0,soliloquy; monologue; speaking to oneself,||,||,||,&n;,,,,,False,,,,,,
ひと時,ひととき,1162920,0,a (short) time; a while; moment,||,||,||,&n;,,,,,True,,,,,,&uk;
ひと時,ひととき,1162920,1,one time (in the past); a period; former times,||,||,||,&n;|&adv;,,,,,True,,,,,,&uk;
ひと時,ひととき,1162920,2,two-hour period,,,,&n;,,,,,False,,,,,,&arch;
ひな祭り,ひなまつり,1373440,0,Hinamatsuri (March 3); Girls' Festival; Dolls' Festival,||,||,||,&n;,,,,,False,,,,,,
びしょ濡れ,びしょぬれ,1612930,0,sopping wet; dripping wet; sodden; drenched; soaked,||||,||||,||||,&adj-no;|&n;,,,,,False,,,,,,
ふる里,ふるさと,1603050,0,hometown; birthplace; native place; one's old home,|||,|||,|||,&n;,,,,,True,,,,,,&uk;
ふる里,ふるさと,1603050,1,ruins; historic remains,|,|,|,&n;,,,,,False,,,,,,&arch;
ぶっきら棒,ぶっきらぼう,1011160,0,curt; blunt; brusque,||,||,||,&adj-na;|&n;,,,,,True,,,,,,&uk;
ぶら下がる,ぶらさがる,1011240,0,to hang down (from); to dangle; to swing; to be suspended,|||,|||,|||,&v5r;|&vi;,,,,,False,,,,,,
ぶら下がる,ぶらさがる,1011240,1,to be within one's reach; to dangle (before one's eyes),|,|,|,&v5r;|&vi;,,,,,False,,,,,,
ぶら下がる,ぶらさがる,1011240,2,to be completely reliant on; to be entirely dependent on,|,|,|,&v5r;|&vi;,,,,,False,,,,,,
ぶら下げる,ぶらさげる,1011250,0,to hang; to suspend; to dangle; to swing; to carry,||||,||||,||||,&v1;|&vt;,,,,,False,,,,,,
ほうが良い,ほうがいい,2160680,0,had better ...,,,,&exp;|&adj-ix;,,,,,False,,,,,after past tense verb,
ほうが良い,ほうがいい,2160680,1,had better not ...,,,,&exp;|&adj-ix;,した方がいい,,,,False,,,,,after negative verb,
ほうが良い,ほうがよい,2160680,0,had better ...,,,,&exp;|&adj-ix;,,,,,False,,,,,after past tense verb,
ほうが良い,ほうがよい,2160680,1,had better not ...,,,,&exp;|&adj-ix;,した方がいい,,,,False,,,,,after negative verb,
ほうれん草,ほうれんそう,1603410,0,spinach,,,,&n;,,,,,False,,,,,,
ほんの少し,ほんのすこし,1908750,0,just a little,,,,&exp;|&n;|&adv;,,,,,False,,,,,,
までも無い,までもない,2098080,0,doesn't amount to doing (something); not significant enough to require (something); unnecessary,||,||,||,&exp;|&adj-i;,,,,,True,,,,,after verb phrase,&uk;
まな板,まないた,1604140,0,chopping board; cutting board,|,|,|,&n;,,,,,False,,,,,,
みじん切り,みじんぎり,1486070,0,finely chopped (cooking),,,,&n;,,,,,False,,,,,,
めぐり合う,めぐりあう,1342030,0,to meet fortuitously (e.g. running into an old friend); to meet by chance; to happen across,||,||,||,&v5u;|&vi;,,,,,False,,,,,,
もう一度,もういちど,2005860,0,once more; again,|,|,|,&exp;,,,,,False,,,,,,
もつ鍋,もつなべ,2194120,0,"hot pot stew made with offal, vegetables and (often) miso",,,,&n;,もつ,,&food;,,False,,,,,,
やって来る,やってくる,1012790,0,to come along; to come around; to turn up,||,||,||,&exp;|&vk;,,,,,True,,,,,,&uk;
やって来る,やってくる,1012790,1,to arrive at the present; to get where one is; to have been doing something (for a period of time),||,||,||,&exp;|&vk;,,,,,True,,,,,,&uk;
やっ付ける,やっつける,1612950,0,to beat; to attack (an enemy); to do away with; to finish off,|||,|||,|||,&v1;|&vt;,,,,,True,,,,,,&uk;
やむを得ない,やむをえない,1612100,0,cannot be helped; unavoidable,|,|,|,&exp;|&adj-i;,,,,,False,,,,,,
やり切れない,やりきれない,1612960,0,"unable to finish (on time, etc.)",,,,&adj-i;,,,,,True,,,,,,&uk;
やり切れない,やりきれない,1612960,1,unbearable; intolerable; beyond endurance; too much,|||,|||,|||,&adj-i;,,,,,True,,,,,,&uk;
やり取り,やりとり,1012940,0,giving and taking; exchange (of letters); arguing back and forth; (conversational) exchange,|||,|||,|||,&n;|&vs;|&vt;,,,,,True,,,,,,&uk;
やり方,やりかた,1012960,0,way (of doing); manner; method; means,|||,|||,|||,&n;,,,,,False,,,,,,
やり甲斐,やりがい,1716680,0,being worth doing,,,,&n;,,,,,True,,,,,,&uk;
やり直し,やりなおし,1605610,0,redoing,,,,&n;|&vs;,,,,,False,,,,,,
やり直す,やりなおす,1605620,0,to do over again; to redo; to start over; to remake; to resume; to recommence,|||||,|||||,|||||,&v5s;|&vt;,,,,,False,,,,,,
やり繰り,やりくり,1012930,0,making do; getting by (somehow); managing,||,||,||,&n;|&vs;|&vt;,,,,,True,,,,,,&uk;
やり過ごす,やりすごす,1612730,0,to let something (or someone) go past,,,,&v5s;|&vt;,,,,,False,,,,,,
やり過ごす,やりすごす,1612730,1,to do too much,,,,&v5s;|&vt;,,,,,False,,,,,,
ゆうちょ銀行,ゆうちょぎんこう,2438910,0,"JP Bank (former Postal Savings Bank, created when the Postal Services were privatized)",,,,&n;,,,,,False,,,,,,
ような気がする,ようなきがする,2839008,0,(I) think (that); (I) have a feeling (that); (I) fancy (that),||,||,||,&exp;|&vs-i;,,,,,False,,,,,at sentence end,
よくあるご質問,よくあるごしつもん,2238290,0,frequently asked questions; FAQ,|,|,|,&exp;|&n;,,,,,False,,,,,,
よくある質問,よくあるしつもん,2138240,0,frequently asked questions; FAQ,|,|,|,&exp;|&n;,,,,,False,,,,,,
よそ行き,よそゆき,1584940,0,going out,,,,&n;|&adj-no;,,,,,False,,,,,,
よそ行き,よそゆき,1584940,1,one's best clothes,,,,&n;|&adj-no;,,,,,False,,,,,,
よそ行き,よそゆき,1584940,2,"formal (e.g. language); best (behaviour, manners, etc.)",|,|,|,&adj-no;,,,,,False,,,,,,
よそ見,よそみ,1544190,0,looking away; looking aside,|,|,|,&n;|&vs;,,,,,False,,,,,,
よろしくお願いいたします,よろしくおねがいいたします,2133760,0,please remember me; please help me; please treat me well; I look forward to working with you,|||,|||,|||,&exp;,,,,,False,,,,,,&pol;
よろしくお願いいたします,よろしくおねがいいたします,2133760,1,please do; please take care of,|,|,|,&exp;,,,,,False,,,,,,&pol;
よろしくお願いします,よろしくおねがいします,2133750,0,please remember me; please help me; please treat me well; I look forward to working with you,|||,|||,|||,&exp;,,,,,False,,,,,,&pol;
よろしくお願いします,よろしくおねがいします,2133750,1,please do; please take care of,|,|,|,&exp;,,,,,False,,,,,,&pol;
アカデミー賞,アカデミーしょう,1612990,0,Academy Award,,,,&n;,,,,,False,,,,,,
アキレス腱,アキレスけん,1015090,0,Achilles tendon; calcaneal tendon,|,|,|,&n;,,,,,False,,,,,,
アキレス腱,アキレスけん,1015090,1,Achilles' heel; vulnerable point,|,|,|,&n;,,,,,False,,,,,,
アジア人,アジアじん,2838845,0,Asian (person),,,,&n;,,,,,False,,,,,,
アミノ酸,アミノさん,1018610,0,amino acid,,,,&n;,,,,,False,,,,,,
アメリカ人,アメリカじん,1018890,0,American person,,,,&n;,,,,,False,,,,,,
アメリカ合衆国,アメリカがっしゅうこく,1149840,0,United States of America,,,,&n;,,,,,False,,,,,,
アルカリ性,アルカリせい,1019220,0,alkalinity; alkaline,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
アルファベット順,アルファベットじゅん,2144320,0,alphabetical order,,,,&n;,,,,,False,,,,,,
アル中,アルちゅう,1019680,0,alcoholism,,,,&n;,アルコール中毒,,,,False,,,,,,&abbr;
イスラム教,イスラムきょう,1610770,0,Islam,,,,&n;,,,,,False,,,,,,
ウォール街,ウォールがい,1613010,0,Wall Street,,,,&n;,,,,,False,,,,,,
エックス線,エックスせん,1029030,0,X-ray,,,,&n;,,,,,False,,,,,,
エッフェル塔,エッフェルとう,1624260,0,Eiffel Tower,,,,&n;,,,,,False,,,,,,
オリーブ色,オリーブいろ,1634260,0,"olive (colour, color); olive brown",|,|,|,&n;,,,,,False,,,,,,
オレンジ色,オレンジいろ,1629570,0,"orange (colour, color)",,,,&n;|&adj-no;,,,,,False,,,,,,
オープン戦,オープンせん,1613020,0,exhibition game; preseason game,|,|,|,&n;,,,&baseb;,,False,,,,,,
カスピ海,カスピかい,1636520,0,Caspian Sea,,,,&n;,,,,,False,,,,,,
カトリック教会,カトリックきょうかい,1613030,0,Catholic Church,,,,&n;,,,,,False,,,,,,
カリブ海,カリブかい,1613040,0,Caribbean Sea,,,,&n;,,,,,False,,,,,,
カ国,かこく,2086750,0,counter for countries,,,,&ctr;,,,,,False,,,,,,
ガラス張り,ガラスばり,1040400,0,glazing; fitting with glass,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
ガラス張り,ガラスばり,1040400,1,transparency; openness; lack of secrecy; openness to scrutiny,|||,|||,|||,&n;|&adj-no;,,,,,False,,,,,,
ガラス戸,ガラスど,1610800,0,glass door,,,,&n;,,,,,False,,,,,,
キリスト教,キリストきょう,1042530,0,Christianity,,,,&n;,,,,,False,,,,,,
クラシック音楽,クラシックおんがく,1963310,0,classical music,,,,&n;,,,,,False,,,,,,
クラブ活動,クラブかつどう,2226340,0,club activities (usu. clubs in association with a school); extracurricular activities,|,|,|,&n;,部活,,,,False,,,,,,
グアテマラ共和国,グアテマラきょうわこく,2010500,0,Republic of Guatemala,,,,&n;,,,,,False,,,,,,
グローバル化,グローバルか,2132260,0,globalization; globalisation,|,|,|,&n;|&vs;|&vi;|&vt;,グローバリゼーション,,,,False,,,,,,
ケーソン工法,ケーソンこうほう,1047950,0,caisson method,,,,&n;,,,,,False,,,,,,
コピー機,コピーき,2136860,0,copier; copy machine; photocopier,||,||,||,&n;,,,,,False,,,,,,
ゴミ箱,ゴミばこ,1005010,0,garbage can; rubbish bin; trash can; dustbin,|||,|||,|||,&n;,,,,,False,,,,,,
サイン会,サインかい,2220910,0,signing; autograph session,|,|,|,&n;,,,,,False,,,,,,
サイン入り,サインいり,2267940,0,autographed; signed,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
サハラ砂漠,サハラさばく,1056980,0,Sahara Desert,,,,&n;,,,,,False,,,,,,
サービス業,サービスぎょう,2144190,0,service industry; service sector,|,|,|,&n;,,,,,False,,,,,,
シャボン玉,シャボンだま,1061740,0,soap bubble,,,,&n;,,,,,False,,,,,,
シーア派,シーアは,1059070,0,Shia (Islam),,,,&n;,スンニ派,,,,False,Shi'a,ara,,,,
ジェット機,ジェットき,1064250,0,jet aeroplane; jet airplane,|,|,|,&n;,,,,,False,,,,,,
ジャガ芋,ジャガいも,1005930,0,potato (Solanum tuberosum),,,,&n;,ジャガタラ芋,,,,True,,,,,,&uk;
スペイン語,スペインご,1072980,0,Spanish (language),,,,&n;,,,,,False,,,,,,
スポーツ新聞,スポーツしんぶん,1073380,0,sports newspaper,,,,&n;,,,,,False,,,,,,
スワヒリ語,スワヒリご,1074160,0,Swahili (language); Kiswahili,|,|,|,&n;,,,,,False,,,,,,
セーラー服,セーラーふく,1074320,0,sailor suit; middy uniform,|,|,|,&n;,,,,,False,,,,,,
セ氏,セし,1610830,0,Celsius; centigrade,|,|,|,&n;,セ氏温度|摂氏|カ氏,,,,False,,,,,,&abbr;
ソ連,ソれん,1075680,0,Soviet Union; Union of Soviet Socialist Republics; USSR,||,||,||,&n;,ソビエト連邦・ソビエトれんぽう,,,,False,,,,,,&abbr;
タンパク質,タンパクしつ,1419070,0,protein,,,,&n;,,,,,False,,,,,,
ダウ平均株価,ダウへいきんかぶか,1077020,0,Dow-Jones average (New York Stock Exchange),,,,&n;,,,,,False,,,,,,
テレビ局,テレビきょく,1080610,0,television station,,,,&n;,,,,,False,,,,,,
テレビ番組,テレビばんぐみ,2159920,0,television program; TV program,|,|,|,&n;,,,,,False,,,,,,
デパ地下,デパちか,2112350,0,basement of a department store (where foodstuffs are usually sold),,,,&n;,,,,,False,,,,,,&col;|&abbr;
デボン紀,デボンき,1623810,0,Devonian period,,,,&n;,,,,,False,,,,,,
デモ隊,デモたい,1613100,0,demonstrators,,,,&n;,,,,,False,,,,,,
データ通信,データつうしん,1081410,0,data communication,,,,&n;,,,&comp;,,False,,,,,,
ト長調,トちょうちょう,1087670,0,G major,,,,&n;,,,&music;,,False,,,,,,
ドイツ語,ドイツご,1087980,0,German (language),,,,&n;,,,,,False,,,,,,
ドラム缶,ドラムかん,1613120,0,"drum (e.g. oil, gasoline); metal barrel",|,|,|,&n;,,,,,False,,,,,,
ドラ息子,ドラむすこ,1088930,0,lazy son; profligate son,|,|,|,&n;,,,,,False,,,,,,
ドル買い,ドルかい,1613130,0,dollar purchase,,,,&n;,,,,,False,,,,,,
ノーベル賞,ノーベルしょう,1093590,0,Nobel Prize,,,,&n;,,,,,False,,,,,,
ハンセン病,ハンセンびょう,1096580,0,Hansen's disease; leprosy,|,|,|,&n;,,,,,False,,,,,,
バス停,バスてい,1098580,0,bus stop,,,,&n;,,,,,False,,,,,,
バベルの塔,バベルのとう,1099570,0,Tower of Babel,,,,&n;,,,,,False,,,,,,
バラ色,バラいろ,1571780,0,rose-colour; rose-color,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
バラ色,バラいろ,1571780,1,"bright (e.g. life, future, prospects); cheerful; rosy",||,||,||,&adj-no;,,,,,False,,,,,,
バンタム級,バンタムきゅう,1613150,0,bantam-weight (boxer),,,,&n;,,,,,False,,,,,,
パン屋,パンや,1103480,0,bakery; baker; pastry shop,||,||,||,&n;,,,,,False,,,,,,
パン粉,パンこ,1103500,0,breadcrumbs; panko,|,|,|,&n;,,,,,False,,,,,,
パン粉,パンこ,1103500,1,bread flour,,,,&n;,,,,,False,,,,,,
ビー玉,ビーだま,1613160,0,marble; glass marble,|,|,|,&n;,ビードロ|ガラス玉・ガラスだま,,,,False,,,,,,
フライ級,フライきゅう,1613170,0,fly-weight (boxer),,,,&n;,,,,,False,,,,,,
フランス料理,フランスりょうり,2266380,0,French food,,,,&n;,,,,,False,,,,,,
フランス語,フランスご,1111590,0,French (language),,,,&n;,,,,,False,,,,,,
ブチ切れ,ブチきれ,2101560,0,livid,,,,&adj-f;,,,,,False,,,,,,
ブラウン管,ブラウンかん,1113680,0,cathode-ray tube; CRT; Braun tube,||,||,||,&n;,,,,,False,,,,,,
プロフィール画像,プロフィールがぞう,2838093,0,profile picture; profile pic,|,|,|,&n;,,,,,False,,,,,,
プロ野球,プロやきゅう,1611470,0,professional baseball,,,,&n;,,,,,False,,,,,,
ベニヤ板,ベニヤいた,1119780,0,plywood,,,,&n;,,,,,False,,,,,,
ペン先,ペンさき,1121610,0,pen nibs,,,,&n;,,,,,False,,,,,,
マルクス主義,マルクスしゅぎ,1613180,0,Marxism,,,,&n;,,,,,False,,,,,,
ミドル級,ミドルきゅう,1131230,0,middleweight class,,,,&n;,,,,,False,,,,,,
メキシコ湾,メキシコわん,1641400,0,Gulf of Mexico,,,,&n;,,,,,False,,,,,,
メモ帳,メモちょう,2508400,0,memo book; memo pad; notebook; notepad; scratchpad; scratch pad; writing pad; jotter,|||||||,|||||||,|||||||,&n;,,,,,False,,,,,,
ユダヤ教,ユダヤきょう,1613200,0,Judaism,,,,&n;,,,,,False,,,,,,
ラテン語,ラテンご,1139330,0,Latin (language),,,,&n;,,,,,False,,,,,,
リーグ戦,リーグせん,1613210,0,league match,,,,&n;,,,,,False,,,,,,
レギュラー出演,レギュラーしゅつえん,2851535,0,appearing as a regular (on a variety TV show),,,,&n;|&vs;|&vi;,,,,,False,,,,,,
ロケット弾,ロケットだん,1613220,0,rocket,,,,&n;,,,,,False,,,,,,
ローマ字,ローマじ,1146810,0,Latin alphabet; Roman alphabet,|,|,|,&n;,ラテン文字,,,,False,,,,,,
ローマ字,ローマじ,1146810,1,romaji; romanized Japanese; system of transliterating Japanese into the Latin alphabet,||,||,||expl,&n;,ローマ字綴り,,,,False,,,,,,
ヵ月,かげつ,1194480,0,counter for months,,,,&ctr;,,,,,False,,,,,,
ヶ国,かこく,2086750,0,counter for countries,,,,&ctr;,,,,,False,,,,,,
ヶ月,かげつ,1194480,0,counter for months,,,,&ctr;,,,,,False,,,,,,
一,いち,1160790,0,one; 1,|,|,|,&num;|&pref;,,,,,False,,,,,"壱, 弌 and 壹 are used in legal documents",
一,いち,1160790,1,best,,,,&adj-no;|&suf;,,,,,False,,,,,,
一,いち,1160790,2,first; foremost,|,|,|,&adj-no;,,,,,False,,,,,,
一,いち,1160790,3,beginning; start,|,|,|,&n;,,,,,False,,,,,,
一,いち,1160790,4,a (single); one (of many),|,|,|,&n-pref;,,,,,False,,,,,before a noun,
一,いち,1160790,5,ace (playing card),,,,&n;,エース・1,,,,False,,,,,,
一,いち,1160790,6,"bottom string (on a shamisen, etc.)",,,,&n;,,,,,False,,,,,,
一,ひと,2821500,0,one,,,,&pref;,一・いち・1,,,,False,,,,,esp. ひと,
一,ひと,2821500,1,one,,,,&num;,,,,,False,,,,,"when counting aloud, usu. ひ or ひい",
一々,いちいち,1587320,0,one-by-one; separately,|,|,|,&n;|&adv;,,,,,True,,,,,,&uk;
一々,いちいち,1587320,1,every single; each and every; without omission; fully; in detail,||||,||||,||||,&n;|&adv;,,,,,True,,,,,,&uk;
一つ,ひとつ,1160820,0,one,,,,&num;,,,,,False,,,,,,
一つ,ひとつ,1160820,1,for one thing,,,,&n;,,,,,False,,,,,often used in itemized lists,
一つ,ひとつ,1160820,2,only,,,,&n;,,,,,False,,,,,after a noun,
一つ,ひとつ,1160820,3,(not) even,,,,&n;,,,,,False,,,,,with a verb in negative form,
一つ,ひとつ,1160820,4,"just (e.g. ""just try it"")",,,,&n;|&adv;,,,,,False,,,,,,
一つ,ひとつ,1160820,5,some kind of; one type of,|,|,|,&adj-no;,,,,,False,,,,,,
一つ一つ,ひとつひとつ,1160830,0,one-by-one; separately; in detail,||,||,||,&adv;|&adj-no;,,,,,False,,,,,,
一に,いつに,1160930,0,solely; entirely; only; or,|||,|||,|||,&adv;,,,,,False,,,,,,
一ヶ月,いっかげつ,1587410,0,one month,,,,&n;,,,,,False,,,,,,
一一,いちいち,1587320,0,one-by-one; separately,|,|,|,&n;|&adv;,,,,,True,,,,,,&uk;
一一,いちいち,1587320,1,every single; each and every; without omission; fully; in detail,||||,||||,||||,&n;|&adv;,,,,,True,,,,,,&uk;
一一九番,ひゃくじゅうきゅうばん,1602160,0,119 (ambulance and fire brigade emergency telephone number in Japan),,,,&n;,,,,,False,,,,,,
一丁,いっちょう,1164780,0,one sheet; one page; one leaf,||,||,||,&n;,,,,,False,,,,,,
一丁,いっちょう,1164780,1,one block of tofu; one serving (in a restaurant),|,|,|,&n;,,,,,False,,,,,,
一丁,いっちょう,1164780,2,"one long and narrow thing (e.g. guns, scissors, spades, hoes, inksticks, palanquins, candles, jinrikishas, shamisen, oars, etc.)",,,,&n;,,,,,False,,,,,"also written as 一挺, 一梃",
一丁,いっちょう,1164780,3,"one chō (unit of distance, 109.09 m)",,,,&n;,,,,,False,,,,,,
一丁,いっちょう,1164780,4,one game; one task,|,|,|,&n;,,,,,False,,,,,,
一丁,いっちょう,1164780,5,well then; come then,|,|,|,&n;|&adv;,,,,,False,,,,,,
一万,いちまん,2121800,0,"10,000; ten thousand",|,|,|,&num;,,,,,False,,,,,,
一世,いっせい,1576180,0,generation; lifetime,|,|,|,&n;,,,,,False,,,,,,
一世,いっせい,1576180,1,the age; the day,|,|,|,&n;,,,,,False,,,,,,
一世,いっせい,1576180,2,the first (e.g. Elizabeth I),,,,&n;|&n-suf;,,,,,False,,,,,,
一世,いっせい,1576180,3,"issei; first-generation Japanese (or Korean, etc.)",|,|,|,&n;,,,,,False,,,,,,
一両,いちりょう,1167320,0,one vehicle,,,,&n;|&adv;,,,,,False,,,,,,
一両,いちりょう,1167320,1,one ryō (an old coin),,,,&n;|&adv;,,,,,False,,,,,,
一丸,いちがん,1161640,0,one lump; one body; one group,||,||,||,&n;,一丸となって,,,,False,,,,,,
一事,いちじ,1162890,0,one thing,,,,&n;,,,,,False,,,,,,
一二,いちに,1727710,0,the first and second; a few,|,|,|,&n;,,,,,False,,,,,,
一人,ひとり,1576150,0,one person,,,,&n;,,,,,False,,,,,"esp. 一人, １人",
一人,ひとり,1576150,1,being alone; being by oneself,|,|,|,&n;,一人で,,,,False,,,,,,
一人,ひとり,1576150,2,being single; being unmarried,|,|,|,&n;,,,,,False,,,,,esp. 独り,
一人,ひとり,1576150,3,by oneself; alone,|,|,|,&adv;,,,,,False,,,,,,
一人,ひとり,1576150,4,just; only; simply,||,||,||,&adv;,,,,,True,,,,,with neg. sentence,&uk;
一人っ子,ひとりっこ,1727720,0,(an) only child,,,,&n;,,,,,False,,,,,,
一人で,ひとりで,1163700,0,alone; by oneself; on one's own,||,||,||,&exp;,,,,,False,,,,,,
一人一人,ひとりひとり,1612530,0,each (person); individually; one by one; one at a time; in turn,||||,||||,||||,&adv;|&n;,,,,,False,,,,,,
一人前,いちにんまえ,1163770,0,one portion; one serving; one person,||,||,||,&n;,,,,,False,,,,,,
一人前,いちにんまえ,1163770,1,adult; grown-up; person who has come of age,||,||,||,&n;|&adj-no;|&adj-na;,,,,,False,,,,,,
一人前,いちにんまえ,1163770,2,fully fledged; established; qualified,||,||,||,&adj-no;|&adj-na;,,,,,False,,,,,,
一人娘,ひとりむすめ,1163870,0,only daughter,,,,&n;,,,,,False,,,,,,
一人子,ひとりご,1576080,0,(an) only child,,,,&n;,一人っ子・ひとりっこ,,,,False,,,,,,
一人息子,ひとりむすこ,1163790,0,only son,,,,&n;,,,,,False,,,,,,
一人旅,ひとりたび,1602030,0,travelling alone; solitary journey,|,|,|,&n;,,,,,False,,,,,,
一人暮らし,ひとりぐらし,1613340,0,living by oneself; living alone,|,|,|,&n;,,,,,False,,,,,,
一人歩き,ひとりあるき,1163850,0,"taking on a life of its own (of a rumour, etc.)",,,,&n;|&vs;,,,,,False,,,,,,&id;
一人歩き,ひとりあるき,1163850,1,walking by oneself; taking a walk by oneself,|,|,|,&n;|&vs;,,,,,False,,,,,,
一人歩き,ひとりあるき,1163850,2,walking unaided; being able to walk without help,|,|,|,&n;|&vs;,,,,,False,,,,,,
一人歩き,ひとりあるき,1163850,3,standing on one's own feet; being independent; taking care of oneself,||,||,||,&n;|&vs;,,,,,False,,,,,,&id;
一人物,いちじんぶつ,1163840,0,person to be reckoned with; person of importance,|,|,|,&n;,,,,,False,,,,,,
一人物,いちじんぶつ,1163840,1,one person; one character; someone,||,||,||,&n;,,,,,False,,,,,,
一人相撲,ひとりずもう,1455690,0,fighting windmills; tilting at windmills,|,|,|,&n;,,,,,False,,,,,,
一人相撲,ひとりずもう,1455690,1,"mimicking a wrestling match by oneself (as a form of street performance, etc.)",,,,&n;,,,,,False,,,,,,&hist;
一人称,いちにんしょう,1163740,0,first person,,,,&n;,,,&gramm;,,False,,,,,,
一介,いっかい,1161300,0,mere; only a ...,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
一代,いちだい,1164590,0,generation; lifetime; age,||,||,||,&n;,,,,,False,,,,,,
一代記,いちだいき,1164600,0,biography,,,,&n;,,,,,False,,,,,,
一件,いっけん,1162140,0,(one) matter; (one) item; (one) case,||,||,||,&n;,,,,,False,,,,,,
一任,いちにん,1165550,0,entrusting (everything to); leaving (a matter) entirely with,|,|,|,&n;|&vs;|&vt;,,,,,False,,,,,,
一休み,ひとやすみ,1161830,0,(short) rest; breather; break,||,||,||,&n;|&vs;|&vi;,,,,,False,,,,,,
一位,いちい,1161020,0,first place; first rank; unit's position,||,||,||,&n;|&adj-no;,,,,,False,,,,,,
一位,いちい,1161020,1,Japanese yew (Taxus cuspidata),,,,&n;,,,,,True,,,,,"usu. イチイ, also 櫟",&uk;
一体,いったい,1164510,0,(what) the heck; (why) in the world; (who) on earth,||,||,||,&adv;,,,,,False,,,,,"before an interrogative, forms an emphatic question",
一体,いったい,1164510,1,one object; one body; unity,||,||,||,&n;,,,,,False,,,,,,
一体,いったい,1164510,2,one form; one style,|,|,|,&n;,,,,,False,,,,,,
一体,いったい,1164510,3,"one Buddhist image (or carving, etc.)",,,,&n;,,,,,False,,,,,,
一体,いったい,1164510,4,generally; in general,|,|,|,&n;|&adv;,一体に,,,,False,,,,,,
一例,いちれい,1167410,0,example; an instance,|,|,|,&n;,,,,,False,,,,,,
一個,いっこ,1162290,0,piece; fragment; one (object),||,||,||,&n;,,,,,False,,,,,,
一個人,いっこじん,1576010,0,private person; individual,|,|,|,&n;,,,,,False,,,,,,
一倍,いちばい,1165690,0,multiplying by one; original amount,|,|,|,&n;,,,,,False,,,,,,
一倍,いちばい,1165690,1,(even) more,,,,&adv;,人一倍,,,,False,,,,,,
一倍,いちばい,1165690,2,double; twice (as much); twofold,||,||,||,&n;,二倍,,,,False,,,,,,&dated;
一億,いちおく,1161190,0,"100,000,000; one hundred million",|,|,|,&n;,,,,,False,,,,,,
一元,いちげん,1162210,0,unitary,,,,&n;|&adj-no;,,,,,False,,,,,,
一元化,いちげんか,1162220,0,unification; centralization; centralisation,||,||,||,&n;|&vs;|&vt;|&vi;,,,,,False,,,,,,
一先ず,ひとまず,1601990,0,for now; for the time being; for the present,||,||,||,&adv;,,,,,True,,,,,,&uk;
一先ず,ひとまず,1601990,1,though not quite satisfactorily; after a fashion,|,|,|,&adv;,,,,,True,,,,,,&uk;
一党,いっとう,1165150,0,one party; one faction; one clique,||,||,||,&n;,,,,,False,,,,,,
一円,いちえん,1161130,0,one yen,,,,&n;,,,,,False,,,,,,
一円,いちえん,1161130,1,throughout (an area); whole district,|,|,|,&suf;|&adv;,,,,,False,,,,,,
一冊,いっさつ,1162680,0,"one copy (of a book, magazine, etc.); one volume",|,|,|,&n;,,,,,False,,,,,,
一刀,いっとう,1165180,0,sword; blade,|,|,|,&n;,,,,,False,,,,,,
一刀,いっとう,1165180,1,single stroke,,,,&n;,,,,,False,,,,,,
一刀両断,いっとうりょうだん,1165200,0,cutting in two with a single stroke,,,,&n;,,,,,False,,,,,,&yoji;
一刀両断,いっとうりょうだん,1165200,1,taking decisive action; dealing with decisively; cutting the (Gordian) knot,||,||,||,&n;,,,,,False,,,,,,&yoji;
一分,いちぶ,1166270,0,one tenth; one hundredth; one percent; one tenth of a sun; one quarter ryō (an old coin),||||,||||,||||,&n;,,,,,False,,,,,,
一切,いっさい,1164170,0,all; everything; entirety; the whole,|||,|||,|||,&n;|&adj-no;,,,,,False,,,,,,
一切,いっさい,1164170,1,absolutely (not); (not) at all; (none) whatsoever; without exception,|||,|||,|||,&adv;,,,,,False,,,,,with neg. verb,
一列,いちれつ,1167430,0,(a) row; line,|,|,|,&n;|&vs;,,,,,False,,,,,,
一刻,いっこく,1162500,0,a minute; moment; an instant,||,||,||,&n;|&adv;,,,,,False,,,,,,
一刻,いっこく,1162500,1,stubborn; hot-headed,|,|,|,&adj-na;|&n;,一国・3,,,,False,,,,,"also written as 一国, 一克, 一剋",
一助,いちじょ,1163450,0,a help; an aid; some assistance,||,||,||,&n;,,,,,False,,,,,,
一匹,いっぴき,1166060,0,one animal (small),,,,&n;,,,,,False,,,,,,
一匹,いっぴき,1166060,1,two-tan bolt of cloth,,,,&n;,,,,,False,,,,,,&arch;
一千,いっせん,1164250,0,"1,000; one thousand",|,|,|,&num;,,,,,False,,,,,,
一卵性双生児,いちらんせいそうせいじ,1167170,0,identical twins,,,,&n;,,,,,False,,,,,,
一口,ひとくち,1162370,0,mouthful; morsel; bite,||,||,||,&n;,,,,,False,,,,,,
一口,ひとくち,1162370,1,gulp; sip; draft; draught,|||,|||,|||,&n;,,,,,False,,,,,,
一口,ひとくち,1162370,2,one word; in short,|,|,|,&n;,,,,,False,,,,,,
