Word,Reading,Sequence,ID,Length,Kanji,Priority,PriorityReading,PriorityNF,PriorityIchi,PriorityNews,PrioritySpec,PriorityGai,IsCommon,IsFalseReading,IsUsuallyKana,IsSometimesKana,Info,InfoReading
お化け,おばけ,1001670,"お化け,おばけ,1",3,化,news1 nf23,ichi2 news1 nf23,23,0,1,0,0,True,False,True,True,,
お医者さん,おいしゃさん,1612760,"お医者さん,おいしゃさん,1",5,医 者,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お参り,おまいり,1001950,"お参り,おまいり,1",3,参,ichi1 news2 nf36,ichi1 news2 nf36,36,1,2,0,0,True,False,False,False,,
お喋り,おしゃべり,1002450,"お喋り,おしゃべり,1",3,喋,ichi1,ichi1,0,1,0,0,0,True,False,True,True,,
お土産,おみやげ,1002500,"お土産,おみやげ,1",3,土 産,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お坊さん,おぼうさん,1612830,"お坊さん,おぼうさん,1",4,坊,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お大事に,おだいじに,1002390,"お大事に,おだいじに,1",4,大 事,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お天気,おてんき,1002470,"お天気,おてんき,1",3,天 気,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お好み焼き,おこのみやき,1001890,"お好み焼き,おこのみやき,1",5,好 焼,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お姉さん,おねえさん,1001990,"お姉さん,おねえさん,1",4,姉,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お婆ちゃん,おばあちゃん,2009460,"お婆ちゃん,おばあちゃん,1",5,婆,spec1,spec1,0,0,0,1,0,True,False,True,True,,
お嬢さん,おじょうさん,1002170,"お嬢さん,おじょうさん,1",4,嬢,ichi1 news1 nf21,ichi1 news1 nf21,21,1,1,0,0,True,False,False,False,,
お子さま,おこさま,1002010,"お子さま,おこさま,1",4,子,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お子様,おこさま,1002010,"お子様,おこさま,1",3,子 様,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お宅,おたく,1002400,"お宅,おたく,1",2,宅,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お守り,おまもり,1002060,"お守り,おまもり,1",3,守,ichi1 news2 nf26,ichi1 news2 nf26,26,1,2,0,0,True,False,False,False,,
お客さま,おきゃくさま,1001770,"お客さま,おきゃくさま,1",4,客,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お客様,おきゃくさま,1001770,"お客様,おきゃくさま,1",3,客 様,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お家,おうち,2213230,"お家,おうち,1",2,家,spec1,spec1,0,0,0,1,0,True,False,True,True,,
お家芸,おいえげい,1694470,"お家芸,おいえげい,1",3,家 芸,news2 nf31,news2 nf31,31,0,2,0,0,True,False,False,False,,
お巡りさん,おまわりさん,1002120,"お巡りさん,おまわりさん,1",5,巡,ichi1 news2 nf40,ichi1 news2 nf40,40,1,2,0,0,True,False,True,True,,
お帰り,おかえり,1612780,"お帰り,おかえり,1",3,帰,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お帰りなさい,おかえりなさい,1001740,"お帰りなさい,おかえりなさい,1",6,帰,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お年玉,おとしだま,1270580,"お年玉,おとしだま,1",3,年 玉,ichi1 news1 nf19,ichi1 news1 nf19,19,1,1,0,0,True,False,False,False,,
お店,おみせ,2842661,"お店,おみせ,1",2,店,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お弁当,おべんとう,1513065,"お弁当,おべんとう,1",3,弁 当,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お待たせしました,おまたせしました,2149640,"お待たせしました,おまたせしました,1",8,待,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お手上げ,おてあげ,1002080,"お手上げ,おてあげ,1",4,手 上,news1 nf22,news1 nf22,22,0,1,0,0,True,False,False,False,,
お手伝い,おてつだい,1612810,"お手伝い,おてつだい,1",4,手 伝,ichi1 news1 nf17,ichi1 news1 nf17,17,1,1,0,0,True,False,False,False,,
お手伝いさん,おてつだいさん,1002110,"お手伝いさん,おてつだいさん,1",6,手 伝,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お手数,おてすう,1984090,"お手数,おてすう,1",3,手 数,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お手数ですが,おてすうですが,2830449,"お手数ですが,おてすうですが,1",6,手 数,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お手洗い,おてあらい,1002100,"お手洗い,おてあらい,1",4,手 洗,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
お手盛り,おてもり,1002090,"お手盛り,おてもり,1",4,手 盛,news2 nf33,news2 nf33,33,0,2,0,0,True,False,False,False,,
お握り,おにぎり,1001620,"お握り,おにぎり,1",3,握,ichi1,ichi1,0,1,0,0,0,True,False,True,True,,
お支払い方法,おしはらいほうほう,2838993,"お支払い方法,おしはらいほうほう,1",6,支 払 方 法,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お支払方法,おしはらいほうほう,2838993,"お支払方法,おしはらいほうほう,1",5,支 払 方 法,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お早う,おはよう,1612820,"お早う,おはよう,1",3,早,ichi1,ichi1,0,1,0,0,0,True,False,True,True,,
お昼,おひる,1660100,"お昼,おひる,1",2,昼,news2 nf28 spec1,news2 nf28 spec1,28,0,2,1,0,True,False,False,False,,
お時間,おじかん,2842263,"お時間,おじかん,1",3,時 間,spec1,spec1,0,0,0,1,0,True,False,False,False,,
お株,おかぶ,1694520,"お株,おかぶ,1",2,株,news2 nf36,news2 nf36,36,0,2,0,0,True,False,False,False,,
